service,s,d,studage,lectage,dept,y,t,k,m
1,164,272,4,3,8,5,17.5,1088,52.5
1,164,284,4,6,8,5,17.5,1136,105
1,164,426,4,3,9,4,14,1704,42
1,164,1295,4,3,8,5,17.5,5180,52.5
1,164,1371,4,3,8,3,10.5,5484,31.5
1,164,1376,4,4,12,3,10.5,5504,42
1,164,1521,4,3,12,1,3.5,6084,10.5
1,164,2036,4,3,8,4,14,8144,42
1,165,438,6,6,1,5,17.5,2628,105
1,165,613,6,5,8,1,3.5,3678,17.5
1,165,964,6,5,8,2,7,5784,35
1,165,1582,6,4,2,3,10.5,9492,42
1,165,2050,6,4,3,4,14,12300,56
1,165,2103,6,6,11,5,17.5,12618,105
1,166,27,6,6,6,2,7,162,42
1,166,109,6,5,6,1,3.5,654,17.5
1,166,296,6,6,11,4,14,1776,84
1,166,307,6,6,2,4,14,1842,84
1,166,365,6,6,10,5,17.5,2190,105
1,166,554,6,6,6,4,14,3324,84
1,166,603,6,6,8,4,14,3618,84
1,166,672,6,5,1,2,7,4032,35
1,166,693,6,6,2,1,3.5,4158,21
1,166,827,6,6,12,3,10.5,4962,63
1,166,1030,6,6,6,1,3.5,6180,21
1,166,1191,6,5,12,2,7,7146,35
1,166,1412,6,6,12,5,17.5,8472,105
1,166,1471,6,5,6,3,10.5,8826,52.5
1,166,1513,6,3,12,3,10.5,9078,31.5
1,166,1537,6,3,12,3,10.5,9222,31.5
1,166,1575,6,5,12,4,14,9450,70
1,166,1699,6,3,15,2,7,10194,21
1,166,1739,6,6,3,4,14,10434,84
1,166,1755,6,6,11,3,10.5,10530,63
1,166,1880,6,6,6,5,17.5,11280,105
1,166,1920,6,6,10,2,7,11520,42
1,166,1959,6,5,6,4,14,11754,70
1,167,474,6,5,1,4,14,2844,70
1,167,817,6,3,4,4,14,4902,42
1,167,827,6,6,12,5,17.5,4962,105
1,167,1382,6,5,3,1,3.5,8292,17.5
1,167,1819,6,5,1,5,17.5,10914,87.5
1,167,1992,6,3,12,3,10.5,11952,31.5
1,167,2070,6,6,2,4,14,12420,84
1,167,2079,6,6,11,3,10.5,12474,63
1,167,2149,6,6,12,5,17.5,12894,105
1,168,554,6,6,6,4,14,3324,84
1,168,702,6,5,6,5,17.5,4212,87.5
1,168,827,6,6,12,3,10.5,4962,63
1,168,900,6,6,7,4,14,5400,84
1,168,1687,6,5,6,2,7,10122,35
1,168,1827,6,6,6,5,17.5,10962,105
1,168,1880,6,6,6,5,17.5,11280,105
1,170,67,8,6,4,3,10.5,536,63
1,170,122,8,2,4,5,17.5,976,35
1,170,260,8,6,12,2,7,2080,42
1,170,296,8,6,11,2,7,2368,42
1,170,297,8,6,9,3,10.5,2376,63
1,170,401,8,6,4,3,10.5,3208,63
1,170,494,8,6,9,2,7,3952,42
1,170,827,8,6,12,4,14,6616,84
1,170,828,8,6,4,3,10.5,6624,63
1,170,907,8,5,12,2,7,7256,35
1,170,977,8,6,6,4,14,7816,84
1,170,1314,8,6,12,1,3.5,10512,21
1,170,1323,8,6,2,2,7,10584,42
1,170,1364,8,6,8,1,3.5,10912,21
1,170,1500,8,6,12,5,17.5,12000,105
1,170,1537,8,6,12,3,10.5,12296,63
1,170,1594,8,6,4,2,7,12752,42
1,170,2026,8,6,8,2,7,16208,42
1,170,2055,8,6,12,4,14,16440,84
1,171,34,8,6,14,2,7,272,42
1,171,193,8,3,10,4,14,1544,42
1,171,474,8,6,1,1,3.5,3792,21
1,171,621,8,6,2,4,14,4968,84
1,171,672,8,3,1,3,10.5,5376,31.5
1,171,944,8,6,11,1,3.5,7552,21
1,171,1686,8,5,8,5,17.5,13488,87.5
1,171,1709,8,6,11,2,7,13672,42
1,171,1718,8,5,8,5,17.5,13744,87.5
1,171,1904,8,3,1,5,17.5,15232,52.5
1,171,1907,8,6,14,4,14,15256,84
1,171,2067,8,3,8,5,17.5,16536,52.5
1,171,2147,8,6,14,2,7,17176,42
1,172,27,6,6,6,2,7,162,42
1,172,150,6,6,8,3,10.5,900,63
1,172,296,6,6,11,3,10.5,1776,63
1,172,307,6,6,2,4,14,1842,84
1,172,554,6,6,6,4,14,3324,84
1,172,603,6,6,8,1,3.5,3618,21
1,172,693,6,6,2,1,3.5,4158,21
1,172,702,6,5,6,3,10.5,4212,52.5
1,172,719,6,6,3,2,7,4314,42
1,172,827,6,6,12,4,14,4962,84
1,172,888,6,3,15,5,17.5,5328,52.5
1,172,900,6,6,7,5,17.5,5400,105
1,172,1126,6,6,8,1,3.5,6756,21
1,172,1138,6,3,7,1,3.5,6828,10.5
1,172,1299,6,3,10,5,17.5,7794,52.5
1,172,1369,6,5,6,1,3.5,8214,17.5
1,172,1629,6,5,6,2,7,9774,35
1,172,1687,6,5,6,3,10.5,10122,52.5
1,172,1739,6,6,3,2,7,10434,42
1,172,1755,6,6,11,5,17.5,10530,105
1,172,1827,6,6,6,4,14,10962,84
1,172,1880,6,6,6,2,7,11280,42
1,172,1952,6,6,8,5,17.5,11712,105
1,172,1984,6,5,10,1,3.5,11904,17.5
1,172,2053,6,5,6,3,10.5,12318,52.5
1,173,100,6,3,5,3,10.5,600,31.5
1,173,193,6,5,10,5,17.5,1158,87.5
1,173,621,6,6,2,3,10.5,3726,63
1,173,944,6,6,11,1,3.5,5664,21
1,173,969,6,6,2,2,7,5814,42
1,173,1012,6,5,2,1,3.5,6072,17.5
1,173,1450,6,6,6,2,7,8700,42
1,173,1711,6,6,3,4,14,10266,84
1,174,65,8,6,2,5,17.5,520,105
1,174,1019,8,6,8,2,7,8152,42
1,174,1067,8,6,2,5,17.5,8536,105
1,174,1436,8,3,4,4,14,11488,42
1,174,1485,8,4,9,3,10.5,11880,42
1,174,1718,8,3,8,3,10.5,13744,31.5
1,174,2098,8,6,9,4,14,16784,84
1,175,34,8,6,14,2,7,272,42
1,175,193,8,5,10,4,14,1544,70
1,175,477,8,6,8,3,10.5,3816,63
1,175,621,8,6,2,1,3.5,4968,21
1,175,761,8,6,8,4,14,6088,84
1,175,805,8,6,9,3,10.5,6440,63
1,175,944,8,6,11,3,10.5,7552,63
1,175,1274,8,6,8,4,14,10192,84
1,175,1371,8,4,8,4,14,10968,56
1,175,1418,8,4,8,5,17.5,11344,70
1,175,1718,8,2,8,4,14,13744,28
1,175,1904,8,3,1,4,14,15232,42
1,175,1907,8,6,14,2,7,15256,42
1,175,2147,8,6,14,1,3.5,17176,21
1,176,307,6,6,2,5,17.5,1842,105
1,176,526,6,6,7,5,17.5,3156,105
1,176,539,6,6,7,1,3.5,3234,21
1,176,554,6,6,6,4,14,3324,84
1,176,603,6,6,8,1,3.5,3618,21
1,176,693,6,6,2,1,3.5,4158,21
1,176,827,6,6,12,4,14,4962,84
1,176,1238,6,5,2,1,3.5,7428,17.5
1,176,1337,6,2,7,4,14,8022,28
1,176,1514,6,5,3,2,7,9084,35
1,176,1802,6,2,7,2,7,10812,14
1,176,1880,6,6,6,3,10.5,11280,63
1,176,1904,6,5,1,5,17.5,11424,87.5
1,176,1920,6,2,10,5,17.5,11520,35
1,176,1984,6,5,10,3,10.5,11904,52.5
1,176,2153,6,5,7,3,10.5,12918,52.5
1,177,19,4,2,15,4,14,76,28
1,177,1266,4,5,15,5,17.5,5064,87.5
1,177,1315,4,3,15,4,14,5260,42
1,177,1574,4,2,15,5,17.5,6296,35
1,177,1699,4,2,15,5,17.5,6796,35
1,177,1854,4,5,15,5,17.5,7416,87.5
1,178,296,8,6,11,3,10.5,2368,63
1,178,307,8,4,2,1,3.5,2456,14
1,178,526,8,4,7,1,3.5,4208,14
1,178,554,8,6,6,1,3.5,4432,21
1,178,603,8,2,8,3,10.5,4824,21
1,178,827,8,6,12,3,10.5,6616,63
1,178,1238,8,3,2,4,14,9904,42
1,178,1337,8,1,7,5,17.5,10696,17.5
1,178,1739,8,1,3,4,14,13912,14
1,178,1750,8,3,2,3,10.5,14000,31.5
1,178,1802,8,3,7,5,17.5,14416,52.5
1,178,1880,8,4,6,3,10.5,15040,42
1,178,1910,8,4,2,5,17.5,15280,70
1,178,1920,8,3,10,4,14,15360,42
1,178,2153,8,3,7,1,3.5,17224,10.5
1,179,27,6,6,6,2,7,162,42
1,179,150,6,6,8,2,7,900,42
1,179,296,6,6,11,3,10.5,1776,63
1,179,307,6,6,2,4,14,1842,84
1,179,365,6,6,10,4,14,2190,84
1,179,554,6,6,6,5,17.5,3324,105
1,179,603,6,6,8,2,7,3618,42
1,179,651,6,6,7,2,7,3906,42
1,179,693,6,6,2,2,7,4158,42
1,179,702,6,5,6,3,10.5,4212,52.5
1,179,719,6,6,3,5,17.5,4314,105
1,179,827,6,6,12,5,17.5,4962,105
1,179,888,6,3,15,5,17.5,5328,52.5
1,179,900,6,6,7,5,17.5,5400,105
1,179,1126,6,6,8,1,3.5,6756,21
1,179,1502,6,3,6,2,7,9012,21
1,179,1629,6,5,6,2,7,9774,35
1,179,1687,6,5,6,3,10.5,10122,52.5
1,179,1739,6,6,3,5,17.5,10434,105
1,179,1755,6,6,11,5,17.5,10530,105
1,179,1827,6,6,6,5,17.5,10962,105
1,179,1880,6,6,6,4,14,11280,84
1,179,1920,6,6,10,3,10.5,11520,63
1,179,1952,6,6,8,5,17.5,11712,105
1,179,1984,6,5,10,3,10.5,11904,52.5
1,179,2053,6,5,6,2,7,12318,35
1,180,67,8,4,4,4,14,536,56
1,180,122,8,2,4,2,7,976,14
1,180,260,8,6,12,3,10.5,2080,63
1,180,827,8,6,12,5,17.5,6616,105
1,180,1019,8,5,8,1,3.5,8152,17.5
1,180,1185,8,4,4,2,7,9480,28
1,180,1323,8,6,2,4,14,10584,84
1,180,1591,8,5,4,4,14,12728,70
1,180,1594,8,6,4,3,10.5,12752,63
1,180,1782,8,4,4,2,7,14256,28
1,180,1837,8,6,6,3,10.5,14696,63
1,180,1908,8,6,8,4,14,15264,84
1,181,314,6,6,11,5,17.5,1884,105
1,181,366,6,3,11,5,17.5,2196,52.5
1,181,736,6,6,8,4,14,4416,84
1,181,1292,6,5,14,4,14,7752,70
1,181,1504,6,6,11,4,14,9024,84
1,181,2132,6,6,8,5,17.5,12792,105
1,182,67,6,6,4,1,3.5,402,21
1,182,122,6,2,4,4,14,732,28
1,182,613,6,5,8,4,14,3678,70
1,182,964,6,5,8,2,7,5784,35
1,182,1019,6,6,8,4,14,6114,84
1,182,1314,6,6,12,3,10.5,7884,63
1,182,1323,6,6,2,1,3.5,7938,21
1,182,2026,6,6,8,3,10.5,12156,63
1,182,2055,6,6,12,2,7,12330,42
1,183,14,6,4,12,4,14,84,56
1,183,304,6,4,6,4,14,1824,56
1,183,467,6,4,12,5,17.5,2802,70
1,183,613,6,3,8,5,17.5,3678,52.5
1,183,827,6,4,12,5,17.5,4962,70
1,183,964,6,3,8,4,14,5784,42
1,183,1314,6,5,12,4,14,7884,70
1,183,1412,6,4,12,5,17.5,8472,70
1,183,1816,6,5,12,4,14,10896,70
1,183,1992,6,4,12,4,14,11952,56
1,183,2026,6,6,8,4,14,12156,84
1,183,2055,6,2,12,5,17.5,12330,35
1,184,109,4,5,6,3,10.5,436,52.5
1,184,375,4,5,1,4,14,1500,70
1,184,835,4,3,8,3,10.5,3340,31.5
1,184,1471,4,5,6,2,7,5884,35
1,184,1673,4,3,1,2,7,6692,21
1,184,1686,4,3,8,5,17.5,6744,52.5
1,184,1718,4,5,8,5,17.5,6872,87.5
1,184,1898,4,6,15,4,14,7592,84
1,184,1948,4,6,15,5,17.5,7792,105
1,184,1959,4,5,6,4,14,7836,70
1,184,2029,4,4,8,1,3.5,8116,14
1,185,150,4,2,8,1,3.5,600,7
1,185,1056,4,2,8,1,3.5,4224,7
1,186,7,6,6,11,5,17.5,42,105
1,186,150,6,6,8,3,10.5,900,63
1,186,2079,6,6,11,2,7,12474,42
1,186,2121,6,6,2,4,14,12726,84
1,187,314,8,6,11,1,3.5,2512,21
1,187,366,8,4,11,4,14,2928,56
1,187,1504,8,6,11,2,7,12032,42
1,187,1923,8,3,12,4,14,15384,42
1,188,65,8,6,2,2,7,520,42
1,188,736,8,5,8,5,17.5,5888,87.5
1,188,1067,8,6,2,2,7,8536,42
1,188,1686,8,4,8,5,17.5,13488,70
1,189,182,8,5,14,3,10.5,1456,52.5
1,189,475,8,6,11,5,17.5,3800,105
1,189,555,8,4,14,3,10.5,4440,42
1,189,626,8,6,14,2,7,5008,42
1,189,849,8,6,2,2,7,6792,42
1,189,989,8,5,14,4,14,7912,70
1,189,1161,8,6,11,3,10.5,9288,63
1,189,1202,8,5,1,3,10.5,9616,52.5
1,189,1817,8,6,11,4,14,14536,84
1,189,1884,8,6,11,4,14,15072,84
1,190,34,6,6,14,3,10.5,204,63
1,190,474,6,6,1,3,10.5,2844,63
1,190,538,6,6,11,3,10.5,3228,63
1,190,621,6,6,2,2,7,3726,42
1,190,805,6,6,9,3,10.5,4830,63
1,190,944,6,6,11,1,3.5,5664,21
1,190,1398,6,4,8,5,17.5,8388,70
1,190,1709,6,6,11,1,3.5,10254,21
1,190,1718,6,3,8,5,17.5,10308,52.5
1,190,1904,6,4,1,5,17.5,11424,70
1,190,1907,6,6,14,2,7,11442,42
1,190,2002,6,6,8,4,14,12012,84
1,190,2147,6,6,14,1,3.5,12882,21
1,191,361,8,6,12,5,17.5,2888,105
1,191,787,8,6,12,4,14,6296,84
1,191,827,8,6,12,2,7,6616,42
1,191,1191,8,6,12,5,17.5,9528,105
1,191,1575,8,6,12,5,17.5,12600,105
1,191,1816,8,6,12,4,14,14528,84
1,191,1841,8,6,12,4,14,14728,84
1,191,2070,8,6,2,3,10.5,16560,63
1,192,12,8,3,14,5,17.5,96,52.5
1,192,65,8,6,2,3,10.5,520,63
1,192,748,8,3,9,4,14,5984,42
1,192,881,8,5,9,5,17.5,7048,87.5
1,192,1067,8,6,2,5,17.5,8536,105
1,192,1276,8,5,14,5,17.5,10208,87.5
1,192,1303,8,4,9,4,14,10424,56
1,192,1436,8,3,4,5,17.5,11488,52.5
1,192,2098,8,6,9,5,17.5,16784,105
1,192,2116,8,5,9,2,7,16928,35
1,193,41,8,6,15,3,10.5,328,63
1,193,183,8,5,8,4,14,1464,70
1,193,252,8,6,6,5,17.5,2016,105
1,193,304,8,4,6,1,3.5,2432,14
1,193,363,8,6,6,2,7,2904,42
1,193,389,8,3,6,4,14,3112,42
1,193,401,8,6,4,5,17.5,3208,105
1,193,446,8,6,6,4,14,3568,84
1,193,454,8,5,6,1,3.5,3632,17.5
1,193,563,8,6,15,4,14,4504,84
1,193,613,8,4,8,2,7,4904,28
1,193,883,8,6,4,3,10.5,7064,63
1,193,945,8,6,4,4,14,7560,84
1,193,964,8,4,8,3,10.5,7712,42
1,193,973,8,6,4,3,10.5,7784,63
1,193,1030,8,2,6,5,17.5,8240,35
1,193,1086,8,6,6,3,10.5,8688,63
1,193,1178,8,3,6,4,14,9424,42
1,193,1284,8,6,4,3,10.5,10272,63
1,193,1536,8,6,11,3,10.5,12288,63
1,193,1546,8,3,6,4,14,12368,42
1,193,1629,8,6,6,3,10.5,13032,63
1,193,1701,8,5,2,1,3.5,13608,17.5
1,193,1745,8,3,6,5,17.5,13960,52.5
1,193,1780,8,6,11,1,3.5,14240,21
1,193,1959,8,1,6,4,14,15672,14
1,193,2053,8,6,6,5,17.5,16424,105
1,194,281,6,4,6,3,10.5,1686,42
1,194,314,6,6,11,5,17.5,1884,105
1,194,366,6,4,11,4,14,2196,56
1,194,1123,6,4,8,3,10.5,6738,42
1,194,1126,6,3,8,4,14,6756,42
1,194,1201,6,4,12,1,3.5,7206,14
1,194,1504,6,6,11,1,3.5,9024,21
1,194,1568,6,3,11,2,7,9408,21
1,194,1570,6,4,12,1,3.5,9420,14
1,194,1770,6,4,6,2,7,10620,28
1,195,19,6,5,15,4,14,114,70
1,195,27,6,6,6,2,7,162,42
1,195,51,6,3,3,1,3.5,306,10.5
1,195,150,6,6,8,3,10.5,900,63
1,195,296,6,6,11,2,7,1776,42
1,195,352,6,6,15,3,10.5,2112,63
1,195,365,6,6,10,5,17.5,2190,105
1,195,554,6,6,6,5,17.5,3324,105
1,195,603,6,6,8,4,14,3618,84
1,195,613,6,5,8,2,7,3678,35
1,195,651,6,6,7,4,14,3906,84
1,195,672,6,3,1,3,10.5,4032,31.5
1,195,693,6,6,2,1,3.5,4158,21
1,195,827,6,6,12,4,14,4962,84
1,195,964,6,5,8,1,3.5,5784,17.5
1,195,979,6,5,10,1,3.5,5874,17.5
1,195,1040,6,5,15,3,10.5,6240,52.5
1,195,1126,6,6,8,3,10.5,6756,63
1,195,1164,6,3,12,4,14,6984,42
1,195,1491,6,6,10,5,17.5,8946,105
1,195,1513,6,3,12,4,14,9078,42
1,195,1537,6,3,12,4,14,9222,42
1,195,1736,6,6,12,4,14,10416,84
1,195,1755,6,6,11,5,17.5,10530,105
1,195,1880,6,6,6,1,3.5,11280,21
1,195,1904,6,5,1,5,17.5,11424,87.5
1,195,1920,6,6,10,4,14,11520,84
1,195,1984,6,5,10,2,7,11904,35
1,195,1992,6,6,12,4,14,11952,84
1,195,2026,6,5,8,5,17.5,12156,87.5
1,195,2084,6,6,10,5,17.5,12504,105
1,196,19,6,5,15,3,10.5,114,52.5
1,196,150,6,6,8,3,10.5,900,63
1,196,365,6,6,10,2,7,2190,42
1,196,603,6,6,8,5,17.5,3618,105
1,196,613,6,6,8,1,3.5,3678,21
1,196,651,6,6,7,2,7,3906,42
1,196,732,6,5,8,3,10.5,4392,52.5
1,196,964,6,6,8,3,10.5,5784,63
1,196,979,6,5,10,5,17.5,5874,87.5
1,196,1040,6,5,15,3,10.5,6240,52.5
1,196,1502,6,5,6,3,10.5,9012,52.5
1,196,1736,6,6,12,3,10.5,10416,63
1,196,1739,6,4,3,5,17.5,10434,70
1,196,1852,6,3,7,4,14,11112,42
1,196,1920,6,6,10,4,14,11520,84
1,196,2026,6,5,8,5,17.5,12156,87.5
1,196,2084,6,6,10,5,17.5,12504,105
1,197,603,6,6,8,4,14,3618,84
1,197,979,6,5,10,5,17.5,5874,87.5
1,197,1126,6,6,8,2,7,6756,42
1,198,314,6,6,11,3,10.5,1884,63
1,198,438,6,6,1,2,7,2628,42
1,198,603,6,6,8,1,3.5,3618,21
1,198,1056,6,5,8,3,10.5,6336,52.5
1,198,1407,6,3,3,2,7,8442,21
1,198,1781,6,2,3,2,7,10686,14
1,198,1809,6,6,2,2,7,10854,42
1,198,2050,6,5,3,2,7,12300,35
1,198,2103,6,6,11,4,14,12618,84
1,199,177,6,4,3,3,10.5,1062,42
1,199,240,6,4,3,5,17.5,1440,70
1,199,532,6,4,3,2,7,3192,28
1,199,603,6,6,8,3,10.5,3618,63
1,199,1019,6,5,8,4,14,6114,70
1,199,1382,6,4,3,3,10.5,8292,42
1,199,1666,6,5,14,4,14,9996,70
1,199,1718,6,3,8,5,17.5,10308,52.5
1,199,2002,6,6,8,4,14,12012,84
1,199,2087,6,5,3,5,17.5,12522,87.5
1,199,2125,6,5,3,5,17.5,12750,87.5
1,200,34,6,6,14,1,3.5,204,21
1,200,474,6,6,1,3,10.5,2844,63
1,200,621,6,6,2,3,10.5,3726,63
1,200,944,6,6,11,4,14,5664,84
1,200,1398,6,4,8,3,10.5,8388,42
1,200,1450,6,5,6,4,14,8700,70
1,200,1709,6,6,11,2,7,10254,42
1,200,1904,6,3,1,5,17.5,11424,52.5
1,200,1907,6,6,14,2,7,11442,42
1,200,2061,6,3,12,5,17.5,12366,52.5
1,200,2147,6,6,14,1,3.5,12882,21
1,201,314,6,6,11,4,14,1884,84
1,201,426,6,3,9,1,3.5,2556,10.5
1,201,550,6,6,8,5,17.5,3300,105
1,201,1087,6,5,1,2,7,6522,35
1,201,1126,6,6,8,4,14,6756,84
1,201,1156,6,6,11,1,3.5,6936,21
1,201,1357,6,5,8,3,10.5,8142,52.5
1,201,1809,6,6,2,5,17.5,10854,105
1,201,2103,6,6,11,2,7,12618,42
1,202,34,6,6,14,3,10.5,204,63
1,202,320,6,5,1,1,3.5,1920,17.5
1,202,538,6,6,11,3,10.5,3228,63
1,202,621,6,6,2,4,14,3726,84
1,202,805,6,6,9,4,14,4830,84
1,202,829,6,2,1,4,14,4974,28
